,Cluster ID,confidence_score,Id,Site Name,Description,Address,City,State,ZIP,Phone Number,URL,Ages Served,Ages 0-3,Ages 3-5,Weekday Availability,Duration/Hours,Program Information,Languages other than English,Other Features,Accreditation,Quality,Quality Rating,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
535,5,0.9359889634047044,423,Teddy Bear III,<p>our mission is to continue to learn more about children and gain a better understanding of our children of tomorrow. Our love and respect for children will never change. We are here to work with parents to provide quality care for their children. We are  trusted by many parents everyday and reminded by each child to never underestimate that trust. These early years are precious so we make sure that each year they are in our care that they count. We are a center that serves low income and bilingual families in our community.</p>,6401 S Pulaski Rd,Chicago,IL,60629,(773) 284-2292,http://www.teddybeardaycare.com,3 years to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start, Early Head Start",,Accepts CCAP,,silver,Silver,41.776702,-87.722327,"{'latitude': '41.776702', 'longitude': '-87.722327'}",23.0,21867,63.0,238.0,15.0
536,5,0.9359889634047044,425,Teddy Bear V,"<p>Teddy Bear V believes children have four basic needs-physical, emotional, social and intellectual.  All of these needs are extremely significant in a child's development.  Furthermore we recognize each child we encounter is a unique human being.  With that in mind we use a large variety of teaching techniques and provide safe, sanitary and stimulation materials and activities to educate the diverse population our center services.  We recognize the importance of respecting and supporting each child and their family. We work to ensure our staff can provide bilingual instruction and resources necessary to provide a strong foundation for school readiness!</p>",5160 S Pulaski Rd,Chicago,IL,60632,(773) 284-7030,http://www.teddybeardaycare.com,6 weeks to 12 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,,silver,Silver,41.798485,-87.723432,"{'latitude': '41.798485', 'longitude': '-87.723432'}",35.0,22248,60.0,793.0,6.0
533,6,0.7873029714185937,501,Teddy Bear I,"<p>Teddy Bear's mission is to provide a stimulating environment for young chldren to grow and develop as they absorb mass amounts of information through their experiences in their early years. It is our belief that through developmentally appropriate education, care, and nurturing that children will prosper into self-assertive individuals with respect for him/herself and the world around them. It is our mission to love and care for these children and stimulate growth while meeting their physical, emotional, social, and intellectual needs. We are unique because our are low income, diverse, and we services Head Start, Pre-k, and Prevention Initiative.</p>",2649 W 51st St,Chicago,IL,60632,(773) 476-0700,http://www.teddybeardaycare.com,6 weeks to 12 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,QRS level 2,silver,Silver,41.800778,-87.691017,"{'latitude': '41.800778', 'longitude': '-87.691017'}",49.0,22248,61.0,778.0,8.0
534,6,0.7873029714185937,424,Teddy Bear II,"<p>Teddy Bear's mission is to provide a stimulating environment for young chldren to grow and develop as they absorb mass amounts of information through their experiences in their early years. It is our belief that through developmentally appropriate education, care, and nurturing that children will prosper into self-assertive individuals with respect for him/herself and the world around them. It is our mission to love and care for these children and stimulate growth while meeting their physical, emotional, social, and intellectual needs. We are unique because our are low income, diverse, and we services Head Start, Pre-k, and Prevention Initiative.</p>",3473 W Columbus Ave,Chicago,IL,60652,(773) 434-2327,http://www.teddybeardaycare.com,6 weeks to 12 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,QRS level 2,silver,Silver,41.745404,-87.70906,"{'latitude': '41.745404', 'longitude': '-87.70906'}",6.0,4300,69.0,199.0,30.0
138,7,0.9432813808644936,507,Erie Neighborhood House,"<p>Erie has blazed trails in finding solutions to the pressing need for affordable, high-quality child care for low-income families in the Chicago metropolitan area.  Our child care programs focus on healthy learning and development for young children, while their parents are working, attending school or training for a new career. Provides services to children age 2-5.</p>",1701 W Superior St,Chicago,IL,60622,(312) 563-5800,http://www.eriehouse.org,2 years to 5 years,True,True,,,"Community Based, Head Start",,Accepts CCAP,"Awards of Excellence, NAEYC",gold,Gold,41.894882,-87.670013,"{'latitude': '41.894882', 'longitude': '-87.670013'}",24.0,21560,25.0,520.0,41.0
140,7,0.7436310389443923,1012,Erie Neighborhood House - Erie House,,1347 W Erie St,Chicago,IL,60642,,,,,True,,,Community Based,,,,licensed,Licensed,41.89354507,-87.66084863,"{'latitude': '41.893545072422', 'longitude': '-87.66084862562'}",41.0,22620,25.0,521.0,41.0
139,7,0.7374773477709047,1011,Erie Neighborhood House - Charter School SA,,1405 N Washtenaw Ave,Chicago,IL,60622,,,,,True,,,Community Based,,,,licensed,Licensed,41.90675727,-87.69428773,"{'latitude': '41.906757272957', 'longitude': '-87.694287725403'}",10.0,21560,25.0,288.0,41.0
228,8,0.8847053183122058,968,Henry Booth House - Jelly Bean Learning Center,,448 E 61st St,Chicago,IL,60637,(773) 733-5861,http://www.jellybeanlearningcenter.org,6 weeks to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,,,licensed,Licensed,41.7839186,-87.6136903,"{'latitude': '41.7839186', 'longitude': '-87.6136903'}",53.0,22260,9.0,331.0,4.0
230,8,0.7633098178366956,514,Henry Booth House - Jelly Bean Learning Center,"<p>HBH provides Head Start services for income eligible children living within the City of Chicago in a number of community areas located on the City's South, Northwest and West side of Chicago to include 19 aldermanic wards. </p><p>Henry Booth House is a nonprofit, community-based agency dedicated toward improving the quality of life for culturally and economically diverse families by providing comprehensive, early childhood education and social services, including a Head Start Program. HBH owns two center-based sites; one located in Near South community with a majority of the families speaking Madarin and Cantonese and another site located in Hegewsich community serving a large population of Spanish speaking children: with a collaborative relationship with 30 community partner sites operating half-day Head Start programming in collaboration with child care. Through collaborations children and families are afforded a full day experience in preparation for kindergarten readiness. The community partner programs receive monitoring, training and technical assistance from HBH managers and coordinators to ensure quality programs.</p>",8501 S Ashland Ave,Chicago,IL,60620,(773) 239-5437,http://www.jellybeanlearningcenter.org,2 years to 6 years,True,True,,,"Community Based, Head Start",,Accepts CCAP,,silver,Silver,41.739322,-87.662766,"{'latitude': '41.739322', 'longitude': '-87.662766'}",18.0,21554,70.0,531.0,13.0
229,8,0.6162445553853644,515,Henry Booth House - Jelly Bean Learning Center,"<p>HBH provides Head Start services for income eligible children living within the City of Chicago in a number of community areas located on the City's South, Northwest and West side of Chicago to include 19 aldermanic wards. </p><p>Henry Booth House is a nonprofit, community-based agency dedicated toward improving the quality of life for culturally and economically diverse families by providing comprehensive, early childhood education and social services, including a Head Start Program. HBH owns two center-based sites; one located in Near South community with a majority of the families speaking Madarin and Cantonese and another site located in Hegewsich community serving a large population of Spanish speaking children: with a collaborative relationship with 30 community partner sites operating half-day Head Start programming in collaboration with child care. Through collaborations children and families are afforded a full day experience in preparation for kindergarten readiness. The community partner programs receive monitoring, training and technical assistance from HBH managers and coordinators to ensure quality programs.</p>",1455 W 63rd St,Chicago,IL,60636,(773) 321-5096,http://www.jellybeanlearningcenter.org,6 weeks to 6 years,True,True,,,"Community Based, Head Start",,Accepts CCAP,,licensed,Licensed,41.779249,-87.661536,"{'latitude': '41.779249', 'longitude': '-87.661536'}",19.0,22257,65.0,279.0,2.0
231,8,0.6046731511582835,516,Henry Booth House - Jelly Bean Learning Center,"<p>HBH provides Head Start services for income eligible children living within the City of Chicago in a number of community areas located on the City's South, Northwest and West side of Chicago to include 19 aldermanic wards. </p><p>Henry Booth House is a nonprofit, community-based agency dedicated toward improving the quality of life for culturally and economically diverse families by providing comprehensive, early childhood education and social services, including a Head Start Program. HBH owns two center-based sites; one located in Near South community with a majority of the families speaking Madarin and Cantonese and another site located in Hegewsich community serving a large poulation of Spanish speaking children: with a collaborative relationship with 30 community partner sites operating half-day Head Start programming in collaboration with child care. Through collaborations children and families are afforded a full day experience in preparation for kindergarten readiness. The community partner programs receive monitoring, training and technical assistance from HBH managers and coordinators to ensure quality programs.</p>",358 E 71st St,Chicago,IL,60636,(773) 873-8888,http://www.jellybeanlearningcenter.org,6 weeks to 6 years,True,True,,,"Community Based, Head Start",,Accepts CCAP,,licensed,Licensed,41.765709,-87.615868,"{'latitude': '41.765709', 'longitude': '-87.615868'}",31.0,22260,67.0,514.0,32.0
424,9,0.513705,947,Montessori School of Englewood,,6550 S Seeley Ave,Chicago,IL,60636,(773) 535-9255,http://www.tmsoe.org,3 years to 6 grade,,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,,licensed,Licensed,41.7719816,-87.6729074,"{'latitude': '41.7719816', 'longitude': '-87.6729074'}",44.0,22257,65.0,281.0,2.0
425,9,0.513705,530,Montessori School of Englewood Charter,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",7033 S Honore Ave,Chicago,IL,60636,(773) 306-1759,,,False,True,,,CPS Based,,,,licensed,Licensed,41.76571,-87.669889,"{'latitude': '41.76571', 'longitude': '-87.669889'}",17.0,22257,65.0,283.0,31.0
96,10,0.9288949,937,Easter Seals - A-Karrasel,,3420 W Fullerton Ave,Chicago,IL,60647,(773) 772-4333,,15 months to 5 years,True,True,"Full Week, Full Day",,"Community Based, Head Start",,,,silver,Silver,41.9248187,-87.7129442,"{'latitude': '41.9248187', 'longitude': '-87.7129442'}",10.0,22535,23.0,70.0,12.0
97,10,0.9288949,939,Easter Seals - A-Karrasel Galewood,,5504 W Fullerton Ave,Chicago,IL,60639,(773) 637-1022,http://www.akarrasel.com,6 weeks to 8 grade,True,True,,,"Community Based, Head Start",,,,silver,Silver,41.9243536,-87.7638282,"{'latitude': '41.9243536', 'longitude': '-87.7638282'}",27.0,22615,19.0,80.0,21.0
518,11,0.60762656,989,South-East Asia Center - International Bridge School,"<p>South-East Asia Center’s International Bridge School
provides learning programs for children ages 2-13.* The Bridge is Gold Rated by
ExceleRate Illinois.  The Bridge is
located  at 5120 North Broadway (a
Chicago-designated  historic landmark
site), one at 1124 West Ainslie Street and another one at 1112 West Foster
Avenue.</p><p>The Bridge provides free parking for commuter parents
wishing to take the nearby el downtown or work in the Broadway-Argyle
neighborhood.  Parents may also bring
their own parents or grandparents to the multicultural Adult Day Care at the
Broadway site.  Free pick up and drop off
for seniors is available as well. The Bridge is located conveniently on
north-south Broadway bus and Red Line routes and a block from east-west Foster
and Lawrence routes. </p><p>The Bridge name derives from its mission of “Building
Cross-Cultural Bridges.” Classes nurture children with English and native
languages, social and emotional development, academic skills, as well as good
health and nutrition practices.  Our
teachers’ credentials traditionally exceed DCFS and CPS guidelines.  </p><p>South-East Asia Center is also well-known in greater Chicago
for its outstanding and comprehensive social services available to Bridge
families.  Alongside our teaching staff,
our dedicated  multilingual human service
staff assist families with services in meeting their challenges in life.</p><p>*Ask about Bridge’s Infant-Toddler Center anticipated to
open in the 2015-2016 school year</p>",1112 W Foster Ave,Chicago,IL,60640,(773) 989-7433,http://www.se-asiacenter.org,2 - 13 years old,True,True,"Full Week, Full Day",,Community Based,,Accepts CCAP,,gold,Gold,41.97647794,-87.6583944,"{'latitude': '41.976477938959', 'longitude': '-87.65839440437'}",40.0,22616,76.0,160.0,16.0
519,11,0.60762656,988,South East Asia - International Bridge School,"<p>South-East Asia Center’s International Bridge School
provides learning programs for children ages 2-13.* The Bridge is Gold Rated by
ExceleRate Illinois.  The Bridge is
located  at 5120 North Broadway (a
Chicago-designated  historic landmark
site), one at 1124 West Ainslie Street and another one at 1112 West Foster
Avenue.</p><p>The Bridge provides free parking for commuter parents
wishing to take the nearby el downtown or work in the Broadway-Argyle
neighborhood.  Parents may also bring
their own parents or grandparents to the multicultural Adult Day Care at the
Broadway site.  Free pick up and drop off
for seniors is available as well. The Bridge is located conveniently on
north-south Broadway bus and Red Line routes and a block from east-west Foster
and Lawrence routes. </p><p>The Bridge name derives from its mission of “Building
Cross-Cultural Bridges.” Classes nurture children with English and native
languages, social and emotional development, academic skills, as well as good
health and nutrition practices.  Our
teachers’ credentials traditionally exceed DCFS and CPS guidelines.  </p><p>South-East Asia Center is also well-known in greater Chicago
for its outstanding and comprehensive social services available to Bridge
families.  Alongside our teaching staff,
our dedicated  multilingual human service
staff assist families with services in meeting their challenges in life.</p><p>*Ask about Bridge’s Infant-Toddler Center anticipated to
open in the 2015-2016 school year</p>",5120 N Broadway,Chicago,IL,60640,(773) 989-7433,http://www.se-asiacenter.org,3 years to 5 years,True,True,"Full Week, Full Day",,Community Based,,Accepts CCAP,NAEYC,gold,Gold,41.97523155,-87.66025926,"{'latitude': '41.97523155', 'longitude': '-87.660259261'}",37.0,22616,31.0,633.0,18.0
38,12,1.0,197,Chicago Youth Centers - ABC Polk Brothers Early Childhood Program,"<p>CYC ABC Early Childhood  mission is to invest in youth in underserved communities in Chicago to help them discover and realize their full potential. </p><p>Our program specialty is in the area of science.
Children enrolled in our program will participate in a Green Living Recycling Project to protect the environment.  Children will utilize their school readiness skills in all areas inclusive of math, science and literacy as they embark on creating and implementing a recycling station in their classroom community.</p><p>Children will learn about how packaging waste, including glass, aluminum, plastics, metals and paperboard contribute significantly to annual waste totals, along with yard trimmings.  Children will learn recycling involves takingmaterials that would normally be discarded as waste and giving them a new life. Children will use their problem solving skills to create their own toys and inventions through recycling.</p><p>Family Engaement in the program supports the involvement of parents and community  partnerships toward achieving the school readiness outcomes.</p>",3415 W 13th Pl,Chicago,IL,60623,(773) 762-5655,http://www.chicagoyouthcenters.org,3 years to 5 years,False,True,"Full Week, Full Day",,"Community Based, Head Start",,Accepts CCAP,,licensed,Licensed,41.863823,-87.711139,"{'latitude': '41.863823', 'longitude': '-87.711139'}",36.0,21569,30.0,772.0,14.0
258,13,1.0,210,Improved Child Care - Albany Child Care,"<p>Albany Child Care Center's mission is to provide a high-quality, age specific early education and family support program for working parents that fosters children's developmental, intellectual and social growth in an environment that is safe, nurturing, affectionate and fun. Our program is taught in both English and Spanish.
Our focus is on Quality; we are QRS Star rated 3 and NAEYC accredited.  
Our vision is to maintain Quality and Professional development for child care staff. 
Our Philosophy is that every child has the potential to be great and to contribute in a positive way to their community.</p>",5954 S Albany Ave,Chicago,IL,60629,(773) 737-7810,http://improvedchildcaremanagement.com,15 months to 5 years,True,True,"Full Week, Full Day",,"Community Based, Head Start",,Accepts CCAP,NAEYC,gold,Gold,41.784672,-87.700873,"{'latitude': '41.784672', 'longitude': '-87.700873'}",19.0,21867,64.0,183.0,2.0
423,14,1.0,221,Montessori Foundations of Chicago,"<p>Archer Ave. Learning Station has revolutionized childcare on the near southwest side of Chicago by offering a Montessori based curriculum in addition to offering child care programs. We opened in October 2009 to serve the community with a belief that a good quality Montessori education should be attainable for all children and not just the wealthy few.  We serve infants, preschool and kindergarten students. Our Montessori programs and childcare programs are headed by Montessori Certified Teachers, early and childhood specialists and our childcare programs are Illinois State Licensed.</p>",3575 S Archer Ave,Chicago,IL,60609,(773) 254-5437,http://www.montessorifoundations.com,6 weeks to 6 years,True,True,"Full Week, Full Day",,Community Based,,Accepts CCAP,Montessori,licensed,Licensed,41.82879,-87.679631,"{'latitude': '41.82879', 'longitude': '-87.679631'}",26.0,14924,56.0,719.0,1.0
451,15,1.0,228,One Hope United - Bridgeport Child Development Center,"<p>Bridgeport Child Development Center has been providing the community with the highest quality early education and care for more than 30 years. Our center is accredited by the prestigious National Association for the Education of Young Children (NAEYC) and provides individualized care for children, including children with special needs, in an environment designed to enhance growth and development.</p>",3053 S Normal Ave,Chicago,IL,60616,(312) 842-5566,http://www.onehopeunited.org,2 years to 12 years,True,True,"Full Week, Full Day",,"Community Based, Head Start",,Accepts CCAP,"Awards of Excellence, COA, NAEYC",gold,Gold,41.838343,-87.63895,"{'latitude': '41.838343', 'longitude': '-87.63895'}",26.0,21194,58.0,155.0,48.0
1,16,1.0,234,Casa Central - Early Learning Academy,"<p>Casa Central's full day center-based Head Start and Adolescent Parent programs foster early learning in a setting that is both culturally and linguistically sensitive, allowing children to develop their language skills, and providing parents the opportunity to be active participants in their child's learning. The programs prepare children and their families for kindergarten and build a strong foundation for future academic success. Learning is supported through evidence-based curriculum; art and music; family literacy activities; developmental screenings; counseling; services for children with special needs; workshops and trainings for parents; and dental, vision, and hearing screenings.</p>",1343 N California Ave,Chicago,IL,60622,(773) 645-2300,http://www.casacentral.org,2 years to 5 years,True,True,"Full Week, Full Day",,"Offers Home Visiting, Community Based, Head Start",,Accepts CCAP,"Awards of Excellence, COA",gold,Gold,41.906055,-87.696769,"{'latitude': '41.906055', 'longitude': '-87.696769'}",10.0,21560,25.0,288.0,49.0
39,17,1.0,235,Chicago Youth Centers - Centro Nuestro,"<p>Chicago Youth Centers invests in youth in underserved communities in Chicago to help them discover and realize their full potential. 
At the Centro Nuestro  we pride ourselves in our positive, caring, and supportive environment. We support the needs of our children and their families. We instill a desire to learn and inquiry in the world around us. Our education program is all inclusive in the areas of: Social Emotional, Language, Literacy, Math, Science, Cognition, Physical Well-Being, and Technology.  Children who are dual language learners will be able to demonstrate increased competency in their home language and also develop proficiency in English while attending our program. All children at George E. Taylor will develop and display a sense of self, confidence in their abilities, and a strong identity that is rooted in their family and culture. Our goal is to prepare the child and their family for their academic future and beyond.
Our curriculum is The Creative Curriculum. It is widely regarded as a forward-thinking, comprehensive, rigorously researched curriculum approach that honors creativity and respects the role that teachers play in making learning exciting and relevant for every child. 
We offer Full Day and Half Day programing</p>",3222 W Division St,Chicago,IL,60651,(773) 489-3157,http://chicagoyouthcenters.org,3 years to 5 years,False,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,,licensed,Licensed,41.903103,-87.707785,"{'latitude': '41.903103', 'longitude': '-87.707785'}",10.0,4299,24.0,455.0,49.0
8,18,1.0,236,Centers for New Horizons - Altgeld Gardens Early Learning Center,"<p>Early Care & Education is the foundational program of Centers for New Horizons, supporting working parents and enabling young children to get off to a great start in school and in life. Centers offers high quality center-based early childhood care and education.</p>",941 E 132nd St,Chicago,IL,60827,(773) 468-3055,http://www.cnh.org,0 years to 5 years,True,True,"Full Week, Full Day",,"Offers Home Visiting, Community Based, Head Start, Early Head Start",,,COA,gold,Gold,41.655827,-87.598578,"{'latitude': '41.655827', 'longitude': '-87.598578'}",30.0,4460,51.0,10.0,43.0
10,19,1.0,237,Centers for New Horizons - Effie O. Ellis Early Learning Center,"<p>Early Care & Education is the foundational program of Centers for New Horizons, supporting working parents and enabling young children to get off to a great start in school and in life. Centers offers high quality center-based early childhood care and education.</p>",4301 S Cottage Grove Ave,Chicago,IL,60653,(773) 548-9840,http://www.cnh.org,0 years to 5 years,True,True,"Full Week, Part Week, Full Day",,"Offers Home Visiting, Community Based, Head Start, Early Head Start",,,COA,gold,Gold,41.816623,-87.606252,"{'latitude': '41.816623', 'longitude': '-87.606252'}",1.0,4301,5.0,398.0,10.0
9,20,1.0,239,Centers for New Horizons - Dawson,"<p>Early Care & Education is the foundational program of Centers for New Horizons, supporting working parents and enabling young children to get off to a great start in school and in life. Centers offers high quality center-based early childhood care and education.</p>",3901 S State St,Chicago,IL,60609,(773) 536-2187,http://www.cnh.org,0 years to 5 years,True,True,"Full Week, Full Day",,"Offers Home Visiting, Community Based, Head Start, Early Head Start",,,COA,gold,Gold,41.82355,-87.626234,"{'latitude': '41.82355', 'longitude': '-87.626234'}",12.0,14924,4.0,163.0,9.0
13,21,1.0,240,Channing's Child Care,"<p>Easter Seals Metropolitan Chicago is proud to offer comprehensive Head Start/Early Head Start services in partnership with Channings.  Through this partnership, Channings offers high quality early childhood education in a safe, licensed child care facility dedicated to supporting families and helping children reach their full potential.  Our program adheres to strict guidelines on performance, quality, and service delivery.</p>",5701 W Division St,Chicago,IL,60651,(773) 379-7627,http://www.channingschildcare.com,3 years to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,,silver,Silver,41.901839,-87.768267,"{'latitude': '41.901839', 'longitude': '-87.768267'}",52.0,4299,26.0,671.0,7.0
12,22,1.0,241,Chance after Chance,"<p>Chance after Chance is an extensive preschool program that focuses on preparing children to succeed academically, socially and emotionally in school. Utilizing an approved research based curriculum, teaching strategy goals, children will exceed in their school readiness goal.  Through intentional individualize planning, children will meet Illinois State standards.</p>",305-309 N Cicero Ave,Chicago,IL,60644,(773) 854-8182,www.chanceafterchancecollegeprep.com,3 years to 6 years,False,True,"Full Week, Full Day, Half Day",,"Offers Home Visiting, Community Based, Early Head Start",,Accepts CCAP,,licensed,Licensed,41.885655,-87.745156,"{'latitude': '41.885655', 'longitude': '-87.745156'}",11.0,22216,26.0,696.0,23.0
